URL;CATEGORY;TYPEPREFIX;BRAND;MODEL;NAME;BRAND_RUS;NAME_RUS;STORE;WORDSTAT;ID
https://lbhr.ret-team.ru/liebherr/holodilniki/morozilnye-kamery/morozilnik-liebherr-sgnpbs-4365-premium-nofrost.html;Холодильники;Холодильник;Liebherr;SGNPbs 4365;Морозильник Liebherr SGNPbs 4365 Premium NoFrost SGNPbs 4365;Либхер;Морозильник Либхер SGNPbs 4365 Premium NoFrost SGNPbs 4365;Нет в наличии;;1605
https://lbhr.ret-team.ru/liebherr/holodilniki/morozilnye-kamery/liebherr-swtnes-4265.html;Холодильники;Холодильник;Liebherr;SWTNes 4265;Морозильник с винным шкафом Liebherr SWTNes 4265 SWTNes 4265;Либхер;Морозильник с винным шкафом Либхер SWTNes 4265 SWTNes 4265;Нет в наличии;;1604
https://lbhr.ret-team.ru/liebherr/holodilniki/morozilnye-lari/morozilnyy-lar-gt-1421-comfort.html;Холодильники;Холодильник;Liebherr;GT 1421;Морозильный ларь Liebherr GT 1421 Comfort GT 1421;Либхер;Морозильный ларь Либхер GT 1421 Comfort GT 1421;Снят с производства;;1339
https://lbhr.ret-team.ru/liebherr/holodilniki/morozilnye-lari/morozilnyy-lar-gt-1432-comfort.html;Холодильники;Холодильник;Liebherr;GT 1432;Морозильный ларь Liebherr GT 1432 Comfort GT 1432;Либхер;Морозильный ларь Либхер GT 1432 Comfort GT 1432;Снят с производства;;1432
https://lbhr.ret-team.ru/liebherr/holodilniki/morozilnye-lari/morozilnyy-lar-gt-1456.html;Холодильники;Холодильник;Liebherr;GT 1456;Морозильный ларь Liebherr GT 1456 GT 1456;Либхер;Морозильный ларь Либхер GT 1456 GT 1456;Снят с производства;;1350
https://lbhr.ret-team.ru/liebherr/holodilniki/morozilnye-lari/morozilnyy-lar-gt-2121-comfort.html;Холодильники;Холодильник;Liebherr;GT 2121;Морозильный ларь Liebherr GT 2121 Comfort GT 2121;Либхер;Морозильный ларь Либхер GT 2121 Comfort GT 2121;Снят с производства;;1345
https://lbhr.ret-team.ru/liebherr/holodilniki/morozilnye-lari/morozilnyy-lar-gt-2122-comfort.html;Холодильники;Холодильник;Liebherr;GT 2122;Морозильный ларь Liebherr GT 2122 Comfort GT 2122;Либхер;Морозильный ларь Либхер GT 2122 Comfort GT 2122;В наличии;;1455
https://lbhr.ret-team.ru/liebherr/holodilniki/morozilnye-lari/morozilnyy-lar-liebherr-gt-2132-comfort.html;Холодильники;Холодильник;Liebherr;GT 2132;Морозильный ларь Liebherr GT 2132 Comfort GT 2132;Либхер;Морозильный ларь Либхер GT 2132 Comfort GT 2132;Снят с производства;;1532
https://lbhr.ret-team.ru/liebherr/holodilniki/morozilnye-lari/morozilnyy-lar-gt-2156-premium.html;Холодильники;Холодильник;Liebherr;GT 2156;Морозильный ларь Liebherr GT 2156 Premium GT 2156;Либхер;Морозильный ларь Либхер GT 2156 Premium GT 2156;Снят с производства;;1359
https://lbhr.ret-team.ru/liebherr/holodilniki/morozilnye-lari/morozilnyy-lar-gt-2621.html;Холодильники;Холодильник;Liebherr;GT 2621;Морозильный ларь Liebherr GT 2621 GT 2621;Либхер;Морозильный ларь Либхер GT 2621 GT 2621;Снят с производства;;1356
https://lbhr.ret-team.ru/liebherr/holodilniki/morozilnye-lari/morozilnyy-lar-gt-2632-comfort.html;Холодильники;Холодильник;Liebherr;GT 2632;Морозильный ларь Liebherr GT 2632 Comfort GT 2632;Либхер;Морозильный ларь Либхер GT 2632 Comfort GT 2632;В наличии;;1433
https://lbhr.ret-team.ru/liebherr/holodilniki/morozilnye-lari/morozilnyy-lar-gt-2656-premium.html;Холодильники;Холодильник;Liebherr;GT 2656;Морозильный ларь Liebherr GT 2656 Premium GT 2656;Либхер;Морозильный ларь Либхер GT 2656 Premium GT 2656;Снят с производства;;1360
https://lbhr.ret-team.ru/liebherr/holodilniki/morozilnye-lari/morozilnyy-lar-gt-3021-comfort.html;Холодильники;Холодильник;Liebherr;GT 3021;Морозильный ларь Liebherr GT 3021 Comfort GT 3021;Либхер;Морозильный ларь Либхер GT 3021 Comfort GT 3021;Снят с производства;;1348
https://lbhr.ret-team.ru/liebherr/holodilniki/morozilnye-lari/morozilnyy-lar-gt-3032-comfort.html;Холодильники;Холодильник;Liebherr;GT 3032;Морозильный ларь Liebherr GT 3032 Comfort GT 3032;Либхер;Морозильный ларь Либхер GT 3032 Comfort GT 3032;В наличии;;1434
https://lbhr.ret-team.ru/liebherr/holodilniki/morozilnye-lari/morozilnyy-lar-gt-3056.html;Холодильники;Холодильник;Liebherr;GT 3056;Морозильный ларь Liebherr GT 3056 GT 3056;Либхер;Морозильный ларь Либхер GT 3056 GT 3056;Снят с производства;;1354
https://lbhr.ret-team.ru/liebherr/holodilniki/morozilnye-lari/morozilnyy-lar-gt-3621-comfort.html;Холодильники;Холодильник;Liebherr;GT 3621;Морозильный ларь Liebherr GT 3621 Comfort GT 3621;Либхер;Морозильный ларь Либхер GT 3621 Comfort GT 3621;Снят с производства;;1346
https://lbhr.ret-team.ru/liebherr/holodilniki/morozilnye-lari/morozilnyy-lar-gt-3622-comfort.html;Холодильники;Холодильник;Liebherr;GT 3622;Морозильный ларь Liebherr GT 3622 Comfort GT 3622;Либхер;Морозильный ларь Либхер GT 3622 Comfort GT 3622;В наличии;;1435
https://lbhr.ret-team.ru/liebherr/holodilniki/morozilnye-lari/morozilnyy-lar-liebherr-gt-3632-comfort.html;Холодильники;Холодильник;Liebherr;GT 3632;Морозильный ларь Liebherr GT 3632 Comfort GT 3632;Либхер;Морозильный ларь Либхер GT 3632 Comfort GT 3632;В наличии;;1534
